"job_id","company_name","job_title","salary_year_avg","job_posted_date","skills"
552322,"AT&T","Associate Director- Data Insights","255829.5","2023-06-18 16:03:12","sql"
552322,"AT&T","Associate Director- Data Insights","255829.5","2023-06-18 16:03:12","python"
552322,"AT&T","Associate Director- Data Insights","255829.5","2023-06-18 16:03:12","r"
552322,"AT&T","Associate Director- Data Insights","255829.5","2023-06-18 16:03:12","azure"
552322,"AT&T","Associate Director- Data Insights","255829.5","2023-06-18 16:03:12","databricks"
552322,"AT&T","Associate Director- Data Insights","255829.5","2023-06-18 16:03:12","aws"
552322,"AT&T","Associate Director- Data Insights","255829.5","2023-06-18 16:03:12","pandas"
552322,"AT&T","Associate Director- Data Insights","255829.5","2023-06-18 16:03:12","pyspark"
552322,"AT&T","Associate Director- Data Insights","255829.5","2023-06-18 16:03:12","jupyter"
552322,"AT&T","Associate Director- Data Insights","255829.5","2023-06-18 16:03:12","excel"
552322,"AT&T","Associate Director- Data Insights","255829.5","2023-06-18 16:03:12","tableau"
552322,"AT&T","Associate Director- Data Insights","255829.5","2023-06-18 16:03:12","power bi"
552322,"AT&T","Associate Director- Data Insights","255829.5","2023-06-18 16:03:12","powerpoint"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","2023-12-05 20:00:40","sql"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","2023-12-05 20:00:40","python"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","2023-12-05 20:00:40","r"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","2023-12-05 20:00:40","hadoop"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","2023-12-05 20:00:40","tableau"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","2023-01-17 00:17:23","sql"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","2023-01-17 00:17:23","crystal"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","2023-01-17 00:17:23","oracle"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","2023-01-17 00:17:23","tableau"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","2023-01-17 00:17:23","flow"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","2023-08-09 11:00:01","sql"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","2023-08-09 11:00:01","python"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","2023-08-09 11:00:01","go"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","2023-08-09 11:00:01","snowflake"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","2023-08-09 11:00:01","pandas"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","2023-08-09 11:00:01","numpy"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","2023-08-09 11:00:01","excel"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","2023-08-09 11:00:01","tableau"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","2023-08-09 11:00:01","gitlab"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","2023-12-07 15:00:13","sql"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","2023-12-07 15:00:13","python"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","2023-12-07 15:00:13","azure"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","2023-12-07 15:00:13","aws"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","2023-12-07 15:00:13","oracle"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","2023-12-07 15:00:13","snowflake"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","2023-12-07 15:00:13","tableau"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","2023-12-07 15:00:13","power bi"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","2023-12-07 15:00:13","sap"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","2023-12-07 15:00:13","jenkins"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","2023-12-07 15:00:13","bitbucket"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","2023-12-07 15:00:13","atlassian"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","2023-12-07 15:00:13","jira"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","2023-12-07 15:00:13","confluence"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05 00:00:25","sql"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05 00:00:25","python"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05 00:00:25","r"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05 00:00:25","git"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05 00:00:25","bitbucket"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05 00:00:25","atlassian"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05 00:00:25","jira"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05 00:00:25","confluence"
1749593,"SmartAsset","Principal Data Analyst","186000.0","2023-07-11 16:00:05","sql"
1749593,"SmartAsset","Principal Data Analyst","186000.0","2023-07-11 16:00:05","python"
1749593,"SmartAsset","Principal Data Analyst","186000.0","2023-07-11 16:00:05","go"
1749593,"SmartAsset","Principal Data Analyst","186000.0","2023-07-11 16:00:05","snowflake"
1749593,"SmartAsset","Principal Data Analyst","186000.0","2023-07-11 16:00:05","pandas"
1749593,"SmartAsset","Principal Data Analyst","186000.0","2023-07-11 16:00:05","numpy"
1749593,"SmartAsset","Principal Data Analyst","186000.0","2023-07-11 16:00:05","excel"
1749593,"SmartAsset","Principal Data Analyst","186000.0","2023-07-11 16:00:05","tableau"
1749593,"SmartAsset","Principal Data Analyst","186000.0","2023-07-11 16:00:05","gitlab"
387860,"Get It Recruit - Information Technology","ERM Data Analyst","184000.0","2023-06-09 08:01:04","sql"
387860,"Get It Recruit - Information Technology","ERM Data Analyst","184000.0","2023-06-09 08:01:04","python"
387860,"Get It Recruit - Information Technology","ERM Data Analyst","184000.0","2023-06-09 08:01:04","r"
